ID,Latitude,Longitude
594970,44.17,-122.18
594971,44.17,-121.87
594972,44.17,-121.56
594973,44.17,-121.25
594974,44.17,-120.93
594975,44.17,-120.62
594976,44.17,-120.31
594977,44.17,-120
594978,44.17,-119.68
594979,44.17,-119.37
594980,44.17,-119.06
594981,44.17,-118.75
594982,44.17,-118.43
594983,44.17,-118.12
594984,44.17,-117.81
594985,44.17,-117.5
594986,44.17,-117.18
596116,44.48,-124.06
596117,44.48,-123.75
596118,44.48,-123.43
596119,44.48,-123.12
596120,44.48,-122.81
596121,44.48,-122.5
596122,44.48,-122.18
596123,44.48,-121.87
596124,44.48,-121.56
596125,44.48,-121.25
596126,44.48,-120.93
596127,44.48,-120.62
596128,44.48,-120.31
596129,44.48,-120
596130,44.48,-119.68
596131,44.48,-119.37
596132,44.48,-119.06
596133,44.48,-118.75
596134,44.48,-118.43
596135,44.48,-118.12
596136,44.48,-117.81
596137,44.48,-117.5
596138,44.48,-117.18
597268,44.8,-124.06
597269,44.8,-123.75
597270,44.8,-123.43
597271,44.8,-123.12
597272,44.8,-122.81
597273,44.8,-122.5
597274,44.8,-122.18
597275,44.8,-121.87
597276,44.8,-121.56
597277,44.8,-121.25
597278,44.8,-120.93
597279,44.8,-120.62
597280,44.8,-120.31
597281,44.8,-120
597282,44.8,-119.68
597283,44.8,-119.37
597284,44.8,-119.06
597285,44.8,-118.75
597286,44.8,-118.43
597287,44.8,-118.12
597288,44.8,-117.81
597289,44.8,-117.5
597290,44.8,-117.18
597291,44.8,-116.87
598420,45.112,-124.062
598421,45.11,-123.75
598422,45.11,-123.43
598423,45.11,-123.12
598424,45.11,-122.81
598425,45.11,-122.5
598426,45.11,-122.18
598427,45.11,-121.87
598428,45.11,-121.56
598429,45.11,-121.25
598430,45.11,-120.93
598431,45.11,-120.62
598432,45.11,-120.31
598433,45.11,-120
598434,45.11,-119.68
598435,45.11,-119.37
598436,45.11,-119.06
598437,45.11,-118.75
598438,45.11,-118.43
598439,45.11,-118.12
598440,45.11,-117.81
598441,45.11,-117.5
598442,45.11,-117.18
598443,45.11,-116.87
599572,45.425,-124.062
599573,45.42,-123.75
599574,45.42,-123.43
599575,45.42,-123.12
599576,45.42,-122.81
599577,45.42,-122.5
599578,45.42,-122.18
599579,45.42,-121.87
599580,45.42,-121.56
599581,45.42,-121.25
599582,45.42,-120.93
599583,45.42,-120.62
599584,45.42,-120.31
599585,45.42,-120
599586,45.42,-119.68
599587,45.42,-119.37
599588,45.42,-119.06
599589,45.42,-118.75
599590,45.42,-118.43
599591,45.42,-118.12
599592,45.42,-117.81
599593,45.42,-117.5
599594,45.42,-117.18
599595,45.42,-116.87
600724,45.737,-124.062
600725,45.73,-123.75
600726,45.73,-123.43
600727,45.73,-123.12
600728,45.73,-122.81
600729,45.73,-122.5
600730,45.73,-122.18
600731,45.73,-121.87
600732,45.73,-121.56
600733,45.73,-121.25
600734,45.73,-120.93
600735,45.73,-120.62
600736,45.73,-120.31
600737,45.73,-120
600738,45.73,-119.68
600739,45.73,-119.37
600740,45.73,-119.06
600741,45.73,-118.75
600742,45.73,-118.43
600743,45.73,-118.12
600744,45.73,-117.81
600745,45.73,-117.5
600746,45.73,-117.18
600747,45.73,-116.87
600748,45.73,-116.56
601876,46.049,-124.062
601877,46.04,-123.75
601878,46.04,-123.43
601879,46.04,-123.12
601880,46.04,-122.81
601881,46.04,-122.5
601882,46.04,-122.18
601883,46.04,-121.87
601884,46.04,-121.56
601885,46.04,-121.25
601886,46.04,-120.93
601887,46.04,-120.62
601888,46.04,-120.31
601889,46.04,-120
601890,46.04,-119.68
601891,46.04,-119.37
601892,46.04,-119.06
601893,46.04,-118.75
601894,46.04,-118.43
601895,46.04,-118.12
601896,46.04,-117.81
601897,46.04,-117.5
601898,46.04,-117.18
603028,46.361,-124.062
603029,46.36,-123.75
603030,46.36,-123.43
603031,46.36,-123.12
603032,46.36,-122.81
603033,46.36,-122.5
603034,46.36,-122.18
603035,46.36,-121.87
603036,46.36,-121.56
603037,46.36,-121.25
603038,46.36,-120.93
603039,46.36,-120.62
603040,46.36,-120.31
603041,46.36,-120
603042,46.36,-119.68
603043,46.36,-119.37
603044,46.36,-119.06
603045,46.36,-118.75
603046,46.36,-118.43
603047,46.36,-118.12
603048,46.36,-117.81
603049,46.36,-117.5
603050,46.36,-117.18
604180,46.673,-124.062
604181,46.67,-123.75
604182,46.67,-123.43
604183,46.67,-123.12
604184,46.67,-122.81
604185,46.67,-122.5
604186,46.67,-122.18
604187,46.67,-121.87
604188,46.67,-121.56
